店名,code,短く説明,醤油,味噌,豚骨,魚介,鶏ガラ,塩,その他,脂,太,固,値,系統,麺類,映える,個性的,駅近,駅からの
方角,,入力者,,,
日高屋 津田沼駅南口店,hidakayaminami,チェーン店<br>安くて美味しい,1,1,1,1,1,1,1,3,3,3,2,,1,,,1,南東,,山田,,,
麺場 田所商店,tadokorosyouten,味噌ラーメン専門店,,1,,,1,,,3,4,3,4,,,,,4,西,,近藤,,,
栄昇らーめん,eisyoura-men,魚介だしが売り,1,,1,1,,1,,3,2,4,3,,,,1,2,南東,,近藤,,,
麺屋 宜候,menyayousoro,船をイメージしたオシャレなラーメン店,1,,,1,1,,,3,3,3,3,,,1,1,3,南東,,近藤,,,
千葉工業大学 津田沼キャンパス 食堂,chibakousyokudou,圧倒的安さ,1,1,1,1,1,1,,3,3,3,1,,1,1,1,4,南東,,近藤,,,
必勝軒,hissyouken,曜替わりスープで違った味を楽しめる,1,,1,1,1,,,3,3,3,3,,,,1,3,南,,近藤,,,
